Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Foundation,Property,ID,ImageURL,Connect,In a nut shell,SemanticScholar
,,StarCoder 2 and The Stack v2: The Next Generation,Code-LLM,,,,,,,260,,,,
,,TaskWeaver: A Code-First Agent Framework,"Agent, Code-LLM",,,,,,,264,,,,
,,Creative Robot Tool Use with Large Language Models,"Code-as-Policies, Robot",,,,,,,359,,,,
,,RoboScript: Code Generation for Free-Form Manipulation Tasks across Real and Simulation,"Code-as-Policies, Robot",,,,,,,358,,,,
,,Executable Code Actions Elicit Better LLM Agents,"Code-as-Policies, Robot",,,,,,,317,,,,
,,Demo2Code: From Summarizing Demonstrations to Synthesizing Code via Extended Chain-of-Thought,"Chain-of-Thought, Code-as-Policies, PersonalCitation, Robot",https://arxiv.org/abs/2305.16744,,,,,,310,,,,
,,Executable Code Actions Elicit Better LLM Agents,"Agent, Code-as-Policies",https://arxiv.org/abs/2402.01030,,,2024/01/24,,,294,,,,
,,Chain of Code: Reasoning with a Language Model-Augmented Code Emulator,"Code-as-Policies, Reasoning",,,,,,,293,,,,
,,RoboCodeX:Multi-modal Code Generation forRobotic Behavior Synthesis,"Code-as-Policies, PersonalCitation, Robot",https://arxiv.org/abs/2402.16117,,,,,,290,,,,
,,Code as Reward: Empowering Reinforcement Learning with VLMs,"Code-as-Policies, Reinforcement-Learning, Reward",https://arxiv.org/abs/2402.04764,,,,,,259,,,,
,Code as policies,Code as Policies: Language Model Programs for Embodied Control,"Code-as-Policies, Embodied, PersonalCitation, Robot",https://arxiv.org/abs/2209.07753,,,2022/09/16,,Code generation,10,https://code-as-policies.github.io/img/share_image.png,,,
,SMART-LLM,SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models,"Code-as-Policies, Robot",https://arxiv.org/abs/2309.10062,,,2023/09/18,,Code generation,56,,,,
,ViperGPT,ViperGPT: Visual Inference via Python Execution for Reasoning,"Code-as-Policies, Reasoning, VLM, VQA",https://arxiv.org/abs/2303.08128,,,2023/03/14,,Visual Question Answering,4,,,,
,Socratic,Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,"Code-as-Policies, PersonalCitation, Robot, Zero-shot",https://arxiv.org/abs/2204.00598,,,2022/04/01,,Code generation,90,,,,
,Progprompt,ProgPrompt: Generating Situated Robot Task Plans using Large Language Models,"Code-as-Policies, PersonalCitation, Robot",https://arxiv.org/abs/2209.11302,,,2022/09/22,,Code generation,95,,,,
,Statler,Statler: State-Maintaining Language Models for Embodied Reasoning,"Code-as-Policies, PersonalCitation, Robot, State-Manage",https://arxiv.org/abs/2306.17840,,,2023/06/30,,Code generation,100,,,,
,VISPROG,Visual Programming: Compositional visual reasoning without training,"Code-as-Policies, VLM, VQA",https://arxiv.org/abs/2211.11559,,,2022/11/18,,Visual Question Answering,99,,,,
,Instruct2Act,Instruct2Act: Mapping Multi-modality Instructions to Robotic Actions with Large Language Model,"Code-as-Policies, Multimodal, OpenGVLab, PersonalCitation, Robot",https://arxiv.org/abs/2305.11176,,,2023/05/18,,Multimodal prompts,105,,,,
,,RoboGPT: an intelligent agent of making embodied long-term decisions for daily instruction tasks,"Code-as-Policies, PersonalCitation, Robot",,,,,,,360,,,,
,,Inner Monologue: Embodied Reasoning through Planning with Language Models,"Code-as-Policies, Embodied, PersonalCitation, Reasoning, Robot, Task-Decompose",https://arxiv.org/abs/2207.05608,,,,,,119,,,,
,,ChatGPT for Robotics: Design Principles and Model Abilities,"Code-as-Policies, PersonalCitation, Robot",,,,,,,361,,,,
,A Survey of Chain of Thought Reasoning,"A Survey of Chain of Thought Reasoning: Advances, Frontiers and Future","Chain-of-Thought, Reasoning, Survey",https://arxiv.org/abs/2309.15402,,,2023/09/27,,Survey Paper,1,,,,
,SelfCheck,SelfCheck: Using LLMs to Zero-Shot Check Their Own Step-by-Step Reasoning,"Chain-of-Thought, Planning, Reasoning",https://arxiv.org/abs/2308.00436,,,2023/08/01,,Planning,2,,,,
,Robot Learning,Robot Learning in the Era of Foundation Models: A Survey,"Robot, Survey",https://arxiv.org/abs/2311.14379,,,2023/11/24,,Survey papers,3,,,,
,MOMA-Force,MOMA-Force: Visual-Force Imitation for Real-World Mobile Manipulation,"Multimodal, Robot",https://arxiv.org/abs/2308.03624,,,2023/08/07,,Multimodal prompts,5,,,,
,Language to Rewards,Language to Rewards for Robotic Skill Synthesis,"Agent, Reinforcement-Learning",https://arxiv.org/abs/2306.08647,,,2023/06/14,,Reinforcement Learning,6,,,,
,Caption Anything,Caption Anything: Interactive Image Description with Diverse Multimodal Controls,"Caption, VLM, VQA",https://arxiv.org/abs/2305.02677,,,2023/05/04,,Visual Question Answering,7,,,,
,ELLM,Guiding Pretraining in Reinforcement Learning with Large Language Models,"Agent, Reinforcement-Learning",https://arxiv.org/abs/2302.06692,,,2023/02/13,,Reinforcement Learning,8,,,,
,InternGPT,InternGPT: Solving Vision-Centric Tasks by Interacting with ChatGPT Beyond Language,"Intaractive, OpenGVLab, VLM",https://arxiv.org/abs/2305.05662,,,2023/05/09,,Vision-LLM,9,,,,
,The Development of LLMs,The Development of LLMs for Embodied Navigation,"Embodied, LLM, Robot, Survey",https://arxiv.org/abs/2311.00530,,,2023/11/01,,Survey papers,11,,,,
,REFLECT,REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,"Feedback, Robot",https://arxiv.org/abs/2306.15724,,,2023/06/27,,Self-improvement,12,,,,
,Autonomous Agents,A Survey on Large Language Model based Autonomous Agents,"Agent, Survey",https://arxiv.org/abs/2308.11432,,,2023/08/22,,Planning,13,,,,
,DOREMI,DoReMi: Grounding Language Model by Detecting and Recovering from Plan-Execution Misalignment,"Perception, Task-Decompose",https://arxiv.org/abs/2307.00329,,,2023/07/01,,Decomposing task,14,,,,
50,Chain of Thought,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Chain-of-Thought, Reasoning",https://arxiv.org/abs/2201.11903,,,2022/01/28,,Chain of Thought,15,,,,
,AgentSims,AgentSims: An Open-Source Sandbox for Large Language Model Evaluation,Agent,https://arxiv.org/abs/2308.04026,,,2023/08/08,,Open-Source Evaluation,16,,,,
