Impact,Model,Title,Category,ArXiv Link,GitHub,Citation,Publication Date,Property
,,Segment and Caption Anything,"Anything, Caption, Perception, Segmentation",https://arxiv.org/abs/2312.00869,,,,
,,open-interpreter,"Agent-Project, Code-LLM",,https://github.com/OpenInterpreter/open-interpreter,,,
,,Explorative Inbetweening of Time and Space,Temporal,https://arxiv.org/abs/2403.14611,,,,
,,"Tencent AI Lab - AppAgent, WebVoyager",Lab,,,,,
,,Correcting Robot Plans with Natural Language Feedback,"Feedback, Robot",https://arxiv.org/abs/2204.05186,,,,
70,,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"LLM, Quantization",https://arxiv.org/abs/2402.17764,,,,
,,EMO: Emote Portrait Alive - Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,"Audio2Video, Diffusion, Generation, Video",,,,,
,,VisionLLaMA: A Unified LLaMA Interface for Vision Tasks,"Foundation, LLaMA, Vision",,,,,
,,NaturalSpeech 3: Zero-Shot Speech Synthesis with Factorized Codec and Diffusion Models,"Diffusion, Speech",,,,,
,,Design2Code: How Far Are We From Automating Front-End Engineering?,"Code-LLM, Front-End",,,,,
,,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,MoE,https://arxiv.org/abs/2101.03961,,,,
,,Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes01,Distilling,,,,,
,,SliceGPT: Compress Large Language Models by Deleting Rows and Columns,"Quantization, Scaling",,,,,
,,"Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs","Diffusion, Text-to-Image",,,,,
,,Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data,"Anything, Depth",,,,,
,,Learning to Learn Faster from Human Feedback with Language Model Predictive Control,"Feedback, Robot",,,,,
50,,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,"Context-Window, LLM, RoPE, Scaling",https://arxiv.org/abs/2402.13753,,,,
,,Sparks of Artificial General Intelligence: Early experiments with GPT-4,"Benchmark, GPT4",,,,,
,BC-Z,BC-Z: Zero-Shot Task Generalization with Robotic Imitation Learning,"Robot, Zero-shot",https://arxiv.org/abs/2202.02005,,,,
,,Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,"Grounding, Reinforcement-Learning",,,,,
,Code LLaMA,Code Llama: Open Foundation Models for Code,"Foundation, LLM, Open-source",,,,,
,,Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning,World-model,,,,,
,,World Model on Million-Length Video And Language With RingAttention,"Text-to-Image, World-model",,,,,
,,Embodied Question Answering,Enbodied,https://arxiv.org/abs/1711.11543,,,,
,,Awesome-Multimodal-LLM,"Awesome Repo, Multimodal",,https://github.com/Atomic-man007/Awesome_Multimodel_LLM,,,
